Twitter_User_Name,Following,Followers,Verified,Link,Location,Real_Location
Predictive Art Bot ï¿½ï,233,1320,0,https://twitter.com/predartbot?s=20,,
Procrastibot,0,147,0,https://twitter.com/Procrastibot?s=20,Everywhere,0
Quilt Bot,2,2828,0,https://twitter.com/a_quilt_bot?s=20,Swatchspace,0
Raag(bot),1240,3292,0,https://twitter.com/Harshavatrx?s=20,California,1
Ranjit Bhatnagar,1440,2420,0,https://twitter.com/ranjit,,
Reverse OCR,0,1871,0,https://twitter.com/reverseocr?s=20,,
Robots Rule,24,2198,0,https://twitter.com/RobotzRule?s=20,The Internetz,0
Sadiq Khan,10500,1100000,1,https://twitter.com/SadiqKhan?s=20,England,1
Salman Khan,29,45200000,1,https://twitter.com/BeingSalmanKhan?s=20,Mumbai,1
Sarah Nagem,1314,1571,0,https://twitter.com/sarah_nagem?s=20,Raleigh,1
Security News Bot,9147,19300,0,https://twitter.com/SecurityNewsbot?s=20,Internet,0
Shannon Watts,19400,605500,1,https://twitter.com/shannonrwatts?s=20,,
Subrahmanyam KVJ,941,21200,0,https://twitter.com/SuB8u?s=20,127.0.0.2,0
T.J. Holmes,0,142700,0,https://twitter.com/tjholmes?s=20,,
The Book Finder Bot,383,65,0,https://twitter.com/theBookFinder2?s=20,,
Thinkpiece Bot ï¿½ï,45,24300,0,https://twitter.com/thinkpiecebot?s=20,,
This Is Just to Say,178,1533,0,https://twitter.com/JustToSayBot?s=20,The Icebox,0
Todd Zwillich,2443,22700,0,https://twitter.com/toddzwillich?s=20,Washington DC,1
TweetBot v1.0,124,108,0,https://twitter.com/tweetbotv1?s=20,Seoul,1
Yashar Ali ï¿½ï,34900,700900,0,https://twitter.com/yashar?s=20,,
chris douridas,4290,13800,1,https://twitter.com/chrisdouridas?s=20,Los Angeles,1
here's your reminder,2,143500,0,https://twitter.com/tinycarebot?s=20,,
hi i have advice,0,3926,0,https://twitter.com/nice_tips_bot?s=20,,
olivia taters,4557,5598,0,https://twitter.com/oliviataters?s=20,,
portmanteau_bot,0,1960,0,https://twitter.com/portmanteau_bot?s=20,,
waqas Sajid,1817,963,0,https://twitter.com/wqs47?s=20,Islamabad,1
